paper_name,fluxes,current_A,voltage_V,travel_speed,penetration_mm,oxygen_ppm,hardness_HV,ferrite_FN,context,heat_input,flux_encoded
"Study on surface appearance, geometry size, and delta-ferrite.pdf",No Flux,200.0,12.0,150.0,9.51,,,,"IntJAdvManufTechnol(2017)89:2355–2362
DOI10.1007/s00170-016-9280-2
ORIGINALARTICLE
Study on surface appearance, geometry size, and delta-ferrite
content of ZrO -aided TIG welding of AISI 316LN stainless steel
2
Kuang-HungTseng1
Received:3May2016/Accepted:1August2016/Publishedonline:11August2016
#Springer-VerlagLondon2016
Abstract Thisstudyinvestigatedtheinfluenceofoxidewith determines the welding productivity. | TIG welding is one of
a more negative Gibbs free energy (ΔG) on the surface ap- thepopulararcweldingtechnologies.However,thistechnol-
pearance, geometry size, and delta-ferrite (δ-Fe) content of ogy operatesinmelt-in (conductionlimited)mode; thus, the
AISI 316LN stainless steel subjected to flux-aided tungsten conduction of heat energy from an electric arc through the
inertgas(TIG)welding.PowderedZrO ofvariousparticlesizes metalstronglyaffectstheshapeandsizeoftheresultantweld. | 2
mixed with 80 % water/20 % acetone solution was used as Asaresult,thepenetrationdepthofTIGweldislimited.The
flux. | The potential advantages of ZrO -aided TIG welding penetrationdepthachievableinasingle-pass,autogenousop-
2
were also demonstrated. | tubes to be welded, and a single-pass welding with no filler
metalissubsequentlyperformedtoachieveahigh-penetration
Keywords Undercutting .Fluxslag .PowderedZrO .",16.0,0
Multicomponent enabled MWCNTs-TiO2 nano-activating flux for controlling.pdf,TiO2,200.0,12.0,91.0,6.435,,,,"A similar beneficial
effect on weld depths of flux addition observed from optical micrographs, which revealed the
E
radiating radii of semi-circular profiles with increasing penetration. | The centripetal Marangoni
T
convection (change in surface tension) and constriction of tungsten inert gas (TIG) welding arc
P
column found responsible mechanisms for significant uplifting of geometrical behavior. | The use of
C
MWCNTs provided heterogeneous nucleation that freezes the weld penetration along with
A
limiting the distortion, attributed to the enormous mismatch of coefficient of thermal expansion
(CTE) with AA6061. | Keywords: Geometrical behavior, Marangoni convection, arc constriction, TIG welding,
MWCNTs-TiO distortion, coefficient of thermal expansion
2,
1
ACCEPTED MANUSCRIPT
1. | It is particularly
noted that TIG welding is usually employed where full penetration could be achieved in a single
S
pass up to 3-4mm, otherwise double sides and multiple-passes may require on thick sections.",26.373626373626372,1
Activated flux TIG welding of dissimilar SS.pdf,"TiO2, SiO2, al2o3",316.0,12.0,91.0,7.36,,231.5,,"MaterialsToday:Proceedings47(2021)7189–7195
ContentslistsavailableatScienceDirect
Materials Today: Proceedings
journal homepage: www.elsevier.com/locate/matpr
Activated flux TIG welding of dissimilar SS202 and SS304 alloys: Effect of
oxide and chloride fluxes on microstructure and mechanical properties
of joints
Anand Baghela, Chaitanaya Sharmab, Sandeep Ratheec, Manu Srivastavad
aDepartmentofMechanicalEngineering,AmityUniversityMadhyaPradesh,Gwalior,India
bDepartmentofMechanicalEngineering,BITSindri,Dhanbad,India
cDepartmentofMechanicalEngineering,NationalInstituteofTechnologySrinagar,JammuandKashmir,India
dDepartmentofMechanicalEngineering,PDPMIndianInstituteofInformationTechnology,DesignandManufacturingJabalpur,India
a r t i c l e i n f o a b s t r a c t
Articlehistory: Lowdepthofpenetrationlimitstheuseoffavoredtungsteninertgas(TIG)weldingprocessforjoiningof
Received27September2020 ferrousandnon-ferrousmetals,demandingweldbeadprofileofhighquality.Thisarticleaimstostudy
Receivedinrevisedform6July2021 theeffectofchlorideandoxidefluxesviz.calciumchloride(CaCl )andferricoxide(Fe O )onmicro-
2 2 3
Accepted8July2021
structuralandmechanicalpropertiesofTIGweldedjointsofdissimilarSS304andSS202steels.Results
Availableonline8August2021
reflectedthatuseofoxideandchloridefluxessignificantlyaffectstheweldbeadgeometry,beaddimen-
sionsandpenetration.Theuseofoxidefluxresultedincompletepenetrationandapproximatelylinear
Keywords:
rootofweldwithgoodfusionofboththebasemetals.Fusionzoneshowedcolumnardendriticcastgrain
ATIGwelding
structure while coarse grain structure was obtained in heat-affected zone. | Fusion zone hardness was
SS202
higherthanSS304basemetalandanoppositetrendobservedforSS202irrespectiveofweldingcondition. | SS304
Activatedflux Finegrainedheataffectedzonehardnesswashigherthancoarserainforallweldingconditions. | Depthofpenetration (cid:1)2020ElsevierLtd.Allrightsreserved. | In automobile, Activated flux produces reverse Marangoni effect which further
exhaustmanifoldsandtailpipearejoinedwiththeuseoftungsten changessurfacetensionofmoltenmetalfromnegativetopositive
inertgas(TIG)weldinginsimilaranddissimilarcombinations.TIG directionasshowninFig.1.Asaresult,flowofmoltenmetalfrom
welding is used in various industries for the dressing on weld outwardtoinwarddirectionoccurs,whichinturnincreasesDOP
metalsurfacetomakeitattractivewithproperjoining.Itutilizes and reduces the bead width [2–5].",41.67032967032967,2
"Sci-Hub. Enhancement of activated tungsten inert gas (A-TIG) welding using multi-component TiO2-SiO2-Al2O3 hybrid flux _ Measurement, 2019.pdf",TiO2,110.0,15.0,82.0,3.0,,,11.0,"Measurement148(2019)106912
ContentslistsavailableatScienceDirect
Measurement
journal homepage: www.elsevier.com/locate/measurement
Enhancement of activated tungsten inert gas (A-TIG) welding using
multi-component TiO -SiO -Al O hybrid flux
2 2 2 3
⇑
Atul Babbar , Akhilesh Kumar, Vivek Jain, Dheeraj Gupta
MechanicalEngineeringDepartment,ThaparInstituteofEngineeringandTechnology,Patiala,India
a r t i c l e i n f o a b s t r a c t
Articlehistory: A novel technique of using activated flux in Tungsten inert gas (TIG) welding is used in the present
Received8December2018 investigations.Theeffectofhybridmulti-componentsurfactant(flux)isdiscussedintermsofdepthof
Receivedinrevisedform12July2019 penetration(DOP),micro-hardness,tensilestrength,andmetallurgicaltraits.TheactivatedTIGwelding
Accepted5August2019
hasbeencarriedfordifferentthicknessofworkpiecematerialwiththreefactorscurrent,travelspeed,and
Availableonline07August2019
flowrateatthreelevels.Theresultsrevealedasignificantincreaseinthedepthofpenetrationonusing
activatedflux.ThemaximumDOPachievedis8.283mmwithcurrent110A,speed82mm/minandflow
Keywords:
rateof14L/min.TheresultsobtainedfromtensiletestdemonstratesthatA-TIGweldingproduceswelds
SS-304alloy
withbetterstrength.Radiographyhighlightdefect-freeweldsonusingactivatedflux.Theoutcomesof
Activatedflux
thepresentstudyconfirmtheapplicabilityofthislow-costweldingtechniqueforjoiningSS-304stainless
Tensilestrength
Microhardness steelthicksheetsfortheimprovedendowment. | Depthofpenetration (cid:1)2019ElsevierLtd.Allrightsreserved. | [9] implemented dry ring core tech-
butadienestyrene(asABS-15Al)and50%topolyamidePA6(asPA- niqueforthemeasurementofsub-surfaceresidualstressesinSS-
50Al) resulted in the similar MFI range of 11.57g/10min and 304weldjoints.Pandeyetal.[10]carriedacomparativeanalysis
11.97g/10 (with similar melting point range) confirmed the to study the autogenous TIG welding and tungsten arc welding
enhanced material compatibility with possibilities of sound FSW fordissimilarP91andP92steelweldjoints.AutogenousTIGweld
joints.Similarly,Azhirietal.[4]reported26%enhancementinjoint jointswasfoundtohavepeakhardnessandlowimpacttoughness. | Vasudevanetal.[13]performedTIGweldingonSS316Lspecimens
andpeaktensileresidualstressof70MPa,Hardness–Weld:168– Table3
Parametersselectedforexperimentation. | [14] determined the optimum oxygen content in the flux Level1 4.84 100 82 12
andgasflowrateforTIGweldedAISI304joints.Weldingparame- Level2 7.11 105 83 13
Level3 7.92 110 84 14
tersusedwereweldingcurrent180A,travelSpeed150mm/s,and
bead length 3mm.",20.121951219512194,1
Enhancement_of_activated_tungsten_inert.pdf,TiO2,110.0,15.0,82.0,4.83,160.0,299.0,2.5,"+91-175-2364498
JOURNAL PRE-PROOF
Graphical Abstract
F
O
O
R
P
-
E
R
P
L
A
N
R
U
O
J
JOURNAL PRE-PROOF
Abstract- A novel technique of using activated flux in Tungsten inert gas (TIG) welding is used
in the present investigations. | The effect of hybrid multi-component surfactant (flux) is discussed
in terms of depth of penetration (DOP), micro-hardness, tensile strength, and metallurgical traits. | The results reveaFled a significant
increase in the depth of penetration on using activated flux. | Radiography highlight defect-free welds on using activated flux. | -
Keywords: SS-304 alloy; Activated flux; Tensile strength; Microhardness; Depth of penetration;
E
Microstructure.",20.121951219512194,1
Influence of Activated flux.pdf,No Flux,350.0,12.0,91.0,5.0,,,1.122,"Submit your article to this journal
Article views: 570
View related articles
View Crossmark data
Citing articles: 8 View citing articles
Full Terms & Conditions of access and use can be found at
https://www.tandfonline.com/action/journalInformation?journalCode=lmmp20
MaterialsandManufacturingProcesses,30:1115–1123,2015
Copyright#Taylor&FrancisGroup,LLC
ISSN:1042-6914print=1532-2475online
DOI:10.1080/10426914.2014.973591
Influence of Current and Shielding Gas in TiO Flux Activated TIG
2
Welding on Different Graded Steels
Surinder Tathgir, Anirban Bhattacharya, and Tarun Kumar Bera
Mechanical Engineering Department, Thapar University, Patiala, Punjab, India
Intungsteninertgas(TIG)welding,limiteddepthofpenetrationcanbeachievedduringsinglepasswelding.Toachievethedesireddepth
ofpenetration,thespeedofweldingneedstobesignificantlyreducedandhence,theproductivitydecreases.Inthepresentwork,theeffectof
TiO activatedfluxonpenetrationisevaluatedfordifferentworkpiecesnamelyAISI1020,AISI304,AISI316,andDuplex2205steelsat
2
differentcurrentsandshieldinggascompositions.Theresultsshowasignificantincreaseinthedepthofpenetrationandreductioninthe
width-to-penetration ratio using the activated flux for all the workpiece materials considered here. | Current increases the depth of
penetration,however,theinfluenceoffluxbecomesmoresignificantwithhigherweldingcurrent.Maximumof37.8%,44.3%,47%,and
124%increaseindepthsofpenetrationismeasuredforAISI1020,AISI304,AISI316,andDuplex2205steels,respectively,whenactivated
fluxisused.Also,maximumof70%increaseinthedepthofpenetrationisfurtherachievedwhenAralongwith5%H isusedastheshield-
2
inggascomparedtothatwhenpureArisused.Theconstrictionofarccolumnincreasestheenergydensity,whichincreasesthedepthof
penetration.MeasurementofmicrohardnessandmetallurgicalobservationsarecarriedoutforsamplesafterTIGweldingandactivated
tungsteninertgas(ATIG)weldingandcomparedtoobservethesolidificationphenomenonduringtheprocess. | Keywords Activatedflux;Arc-column;Current;Gas;Microstructure;Penetration;Shielding;Steels;TIG. | INTRODUCTION reasonably and increases bead penetration marginally
in comparison to argon. | A modification over the con-
Gas tungsten arc welding (GTAW) or tungsten inert
ventional TIG where a fine layer of activated flux
gas (TIG) welding is one of the commonly used fusion
welding processes capable of producing high quality (called activated TIG; ATIG) is used, increases the
penetration depth.",46.15384615384615,0
Performance of activated TIG welding in 304 austenitic.pdf,No Flux,160.0,12.0,100.0,3.0,,319.0,,"The
results indicated that there was a significant increase in penetration depth on using metal oxides but Al O does not give
2 3
satisfactory result. | Keywords:Activated flux, autogenous TIG welding, penetration depth, heat affected zone;
1. | In spite of having so many advantages it
has severe disadvantage of shallow penetration depth. | The first
attempt toward achieving more penetration was done by E.O. | They
named it as activated TIG welding (A-TIG) welding and found that the application thin layer of flux prior to weld
increases the penetration up to three times.",19.2,0
ATIG full.pdf,No Flux,300.0,12.0,20.0,5.0,,,8.0,"The activated flux TIG
(ATIG)weldingprocess,developedbythePatonWeldingInstituteinthe1960s,isnowconsideredasafeasiblealternativetoincreasethe
process productivity. | ATIG welding uses a thin layer of an activeflux that results in a great increase in weld penetration. | The changes in weld geometry were compared to variations in the
electricalsignalsfromthearcandthearcshape.Theeffectofthefluxontheweldmicrostructurewasalsostudied.Theresultsindicatethat
even thevery simple flux that was used can greatly increase the penetration of theweld bead. | Introduction partoftheshieldinggasmixture,beadpenetrationcanonly
be increased slightly (1–2mm) [1,2]. | The capacity to
TheTIGweldingprocess(orGTAW)isusedwhenagood improve the penetration by the selection of the shielding
weldappearanceandahighqualityoftheweldarerequired.",180.0,0
Activating flux tungsten inert gas welding for enhanced weld.pdf,"TiO2, SiO2, cr2o3",100.0,12.0,91.0,6.0,,,,"Journal of Manufacturing Processes 22 (2016) 211–228
Contents lists available at ScienceDirect
Journal of Manufacturing Processes
j ourna l h o me page: www.elsevier.com/locate/manpro
Review
Activating flux tungsten inert gas welding for enhanced weld
penetration
R.S. | Despite
capable of offering a penetration up to 5–6 mm in a single pass weld, it could not find enough space in
industrial applications, primarily due to few inherent unfavorable features: (a) two-step nature of the
process, (b) poor weld-bead and (c) poor electrode life. | High penetration capability of A-TIG process has
fascinated researchers and renewed the research interest in last one decade. | In the present work, attempts
have been made to analyze and review the literature published with respect to (a) advancement of various
hypotheses to explain the reasons for high penetration achieved using A-TIG, (b) effect of input process
parameters related to GTAW and A-TIG, (c) effect of chemical composition and various alloying elements
in steel on penetration achieved by A-TIG, (d) feasibility studies of A-TIG on ferrous and non-ferrous
metals and (e) technological problems associated with A-TIG. | Reversal of the Marangoni convection .",13.186813186813186,3
Study of the characteristics of duplex stainless steel activated tungsten inert.pdf,No Flux,200.0,12.0,150.0,7.1,,,18.0,"MaterialsandDesign32(2011)255–263
ContentslistsavailableatScienceDirect
Materials and Design
journal homepage: www.elsevier.com/locate/matdes
Study of the characteristics of duplex stainless steel activated tungsten inert
gas welds
Tsann-Shyi Cherna, Kuang-Hung Tsengb,*, Hsien-Lung Tsaia
aDepartmentofMechanicalEngineering,NationalTaiwanUniversityofScienceandTechnology,Taipei106,Taiwan
bDepartmentofMaterialsEngineering,NationalPingtungUniversityofScienceandTechnology,Pingtung912,Taiwan
a r t i c l e i n f o a b s t r a c t
Articlehistory: Thepurposeofthisstudyistoinvestigatetheeffectsofthespecificfluxesusedinthetungsteninertgas
Received6April2010 (TIG)processonsurfaceappearance,weldmorphology,angulardistortion,mechanicalproperties,and
Accepted31May2010 microstructureswhenwelding6mmthickduplexstainlesssteel.Thisstudyappliesanovelvariantof
Availableonline4June2010
theautogenousTIGwelding,usingoxidepowders(TiO ,MnO ,SiO ,MoO ,andCr O ),tograde2205
2 2 2 3 2 3
stainlesssteelthroughathinlayerofthefluxtoproduceabead-on-platejoint.Experimentalresultsindi-
Keywords: catethatusingSiO ,MoO ,andCr O fluxesleadstoasignificantincreaseinthepenetrationcapabilityof
2 3 2 3
A.Ferrousmetalsandalloys
TIGwelds. | TheactivatedTIGprocess canincreasethe jointpenetrationandthe welddepth-to-width
D.Welding
ratio,andtendstoreducetheangulardistortionofgrade2205stainlesssteelweldment.Theweldedjoint
G.Metallography
alsoexhibitedgreatermechanicalstrength.Theseresultssuggestthattheplasmacolumnandtheanode
rootareamechanismfordeterminingthemorphologyofactivatedTIGwelds. | 1.Introduction ing gas is limited to a 3mm depth for the butt-joint of stainless
steels[10,11].Iftheweldcurrentincreasesorthetravelspeedde-
Duplexstainlesssteeltypicallycomprisesmicrostructurescon- creases, the weld bead becomes excessively wide with relatively
sistingofapproximatelyequalproportionsofbody-centeredcubic littlegaininthepenetrationcapability. | ferriteandface-centeredcubicaustenite.Thesetwophasespossess Therefore,itisnecessarytoimprovethepenetrationcapability
varying affinities for alloying elements in duplex stainless steels and manufacturing productivity of TIG welding. | Austenite stabilizers, such as nickel and nitrogen, concen- notabletechniquesistouseactivatingfluxwithTIGwelding[7–
trate in the austenite structure, while ferrite stabilizers, such as 18].",16.0,0
