material,flux,current_A,voltage_V,travel_speed_mm_min,plate_thickness_mm,heat_input,penetration_mm
SS304,No Flux,212,13.69,84,6,34.541,12.0
SS304,No Flux,231,11.12,144,6,17.845,12.0
SS304,No Flux,197,11.83,173,8,13.477,12.0
SS304,No Flux,197,13.83,107,5,25.462,12.0
SS304,No Flux,130,12.97,127,5,13.276,12.0
SS304,No Flux,124,12.32,116,5,13.174,12.0
SS304,No Flux,160,12.03,133,4,14.472,12.0
SS304,No Flux,130,12.3,87,8,18.382,12.0
SS304,TiO2,198,14.36,78,5,36.459,12.0
SS304,TiO2,220,13.23,113,4,25.763,12.0
SS304,TiO2,117,10.64,147,4,8.467,12.0
SS304,TiO2,111,12.2,123,5,11.01,12.0
SS304,TiO2,113,11.24,132,5,9.622,12.0
SS304,TiO2,157,11.81,147,6,12.609,12.0
SS304,TiO2,149,13.88,178,5,11.617,12.0
SS304,TiO2,233,11.6,98,6,27.589,12.0
SS304,SiO2,154,10.8,140,4,11.878,12.0
SS304,SiO2,172,13.76,150,8,15.78,12.0
SS304,SiO2,142,12.92,175,6,10.487,12.0
SS304,SiO2,181,12.3,102,8,21.823,12.0
SS304,SiO2,171,11.8,168,8,12.011,12.0
SS304,SiO2,210,14.39,72,4,41.962,12.0
SS304,SiO2,114,12.75,83,6,17.505,12.0
SS304,SiO2,172,14.08,121,4,20.019,12.0
SS304,TiO2+SiO2,205,13.28,170,6,16.017,12.0
SS304,TiO2+SiO2,138,11.42,101,6,15.597,12.0
SS304,TiO2+SiO2,195,14.02,111,4,24.633,12.0
SS304,TiO2+SiO2,137,13.71,113,8,16.628,12.0
SS304,TiO2+SiO2,139,14.03,161,4,12.116,12.0
SS304,TiO2+SiO2,230,13.09,146,4,20.622,12.0
SS304,TiO2+SiO2,112,10.53,141,6,8.363,12.0
SS304,TiO2+SiO2,160,11.58,93,6,19.919,12.0
SS304,Cr2O3,168,11.79,165,8,12.007,12.0
SS304,Cr2O3,161,11.49,108,5,17.125,12.0
SS304,Cr2O3,240,11.7,125,4,22.471,12.0
SS304,Cr2O3,238,11.46,71,4,38.409,12.0
SS304,Cr2O3,177,10.82,125,6,15.326,12.0
SS304,Cr2O3,178,13.03,139,5,16.685,12.0
SS304,Cr2O3,206,11.1,128,5,17.869,12.0
SS304,Cr2O3,199,12.55,88,8,28.376,12.0
SS304,Nano TiO2,205,10.88,174,4,12.824,12.0
SS304,Nano TiO2,213,11.05,161,4,14.619,12.0
SS304,Nano TiO2,151,11.53,85,5,20.486,12.0
SS304,Nano TiO2,222,11.47,117,5,21.759,12.0
SS304,Nano TiO2,146,14.03,78,4,26.262,12.0
SS304,Nano TiO2,240,13.93,123,8,27.171,12.0
SS304,Nano TiO2,225,10.84,141,8,17.292,12.0
SS304,Nano TiO2,221,10.91,168,4,14.346,12.0
SS304,Nano SiO2,202,11.64,179,5,13.131,12.0
SS304,Nano SiO2,177,11.45,90,8,22.516,12.0
SS304,Nano SiO2,237,13.48,136,4,23.485,12.0
SS304,Nano SiO2,224,13.05,91,5,32.112,12.0
SS304,Nano SiO2,147,14.42,120,5,17.659,12.0
SS304,Nano SiO2,130,12.51,97,6,16.767,12.0
SS304,Nano SiO2,170,12.5,73,6,29.102,12.0
SS304,Nano SiO2,155,14.16,168,8,13.064,12.0
